province,province_id,city,city_id,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
黑龙江省,230000,大兴安岭地区,232700,2001,0.0046678656862745105,,2587.3734546007367,5386.940049886825,7475.837035370769,,68.53137073345589,45054.26389331707,3607.8426924012833,1146.5454097730394,18.976472768014712,554.7634052146445,215.81980173462009,10.483316606250002,,,0.47184859375
台湾省,710000,台湾省,710000,2001,1237.3927950321688,19215.986862965256,0.4375614047181372,20.429541171875,278.61603912481615,0.455422390625,3.869992859375,1778.6620285625,4287.996429615441,538.245053203125,358.5724322044116,3412.940912546875,2990.0347461648894,1762.894886953125,1.7643603636029412,254.8576773832721,2188.045819770463
安徽省,340000,安庆市,340800,2001,21.654009265625,,,302.7128381579656,731.8527244181994,,,3969.973952603127,2356.7799626097426,36.889047292095604,184.41343518272058,2712.082266264767,183.4210823813113,1964.213123093627,,4.247095632169118,1020.2250093397672
安徽省,340000,蚌埠市,340300,2001,,,,,,,,,168.6910382129902,85.07067189969362,47.8895320857843,5205.623490575242,286.28156879736525,1.5299879310661766,,0.41838740625,172.59167980140927
安徽省,340000,亳州市,341600,2001,,,,,,,,,57.11165999693627,,,8230.74812036548,216.0647567064338,22.066004609375,,,0.11567758363970589
安徽省,340000,池州市,341700,2001,15.75433621452206,109.70823247922796,,403.98593348737745,1723.0295648596195,,,3566.205292605696,1043.6402316112133,65.24969139338235,126.30323084687502,621.7295888250612,46.03337829540441,418.198319073652,,4.996160101102942,251.81973482794106
安徽省,340000,滁州市,341100,2001,2.51742825,,,149.50481618933824,18.73024801452206,,,165.18616264865196,567.9471483134187,207.9456894878064,91.6140281959559,11117.568498185605,248.78774267359066,493.28674605520814,,1.255329078125,451.51351519387225
安徽省,340000,阜阳市,341200,2001,,,,,,,,,216.516694975674,8.36019280367647,5.8816305,9561.58381781348,227.70025922346818,33.56223245067402,,,65.32861403431374
安徽省,340000,合肥市,340100,2001,,,,7.1336037270220585,52.58443531856618,,,97.67653691139702,1120.6841968651966,44.681269453370085,63.19860984037991,7790.872118542772,528.228783734375,910.4519865750613,,0.424609875,857.8118789183209
安徽省,340000,淮北市,340600,2001,,,,,,,,,70.58930682732841,11.41808171084559,2.06853546875,2431.1893435418524,219.78575873284316,5.969871982169117,,,5.997086875
安徽省,340000,淮南市,340400,2001,,,,,,,,,200.60890650036765,115.91552200392158,44.78754788988971,4568.052709443453,314.55424430582104,5.87592896875,,1.26265728125,279.8070819255516
安徽省,340000,黄山市,341000,2001,457.4329884334558,165.57037758897062,,213.29685814356617,2945.795689460906,,,4915.1256479115855,313.5762237390931,35.801864515625,19.689138322303922,247.716321625,67.8709489375,264.5294606963235,,,26.44601753125
安徽省,340000,六安市,341500,2001,,,,599.5606849852942,898.8605702768991,,,5255.150226635727,735.138852794547,86.25158091072305,67.937440046875,6036.40091369798,121.68821874736521,1367.5664673438719,,1.476592828125,264.64012628566195
安徽省,340000,马鞍山市,340500,2001,,,,5.397496617953432,42.25316614350489,,,15.791121496629902,1033.0232874857847,44.14908769773284,162.04028328841912,1590.1210048660544,202.8123055390932,760.5028750473042,,2.969855390625,188.285772201777
安徽省,340000,宿州市,341300,2001,,,,0.41337059375,,,,,153.33780080526955,17.74345051776961,0.5852142479166667,9353.169527156306,321.48011403762257,76.02335138756128,,,2.7986198655637256
安徽省,340000,铜陵市,340700,2001,,,,0.3765491430147059,93.06389632941178,,,158.03343094852937,1323.190440318505,24.048086088848034,86.995556496201,463.6776876896446,88.16944025974264,440.9855617654412,,4.919697765625,298.2421372756126
安徽省,340000,芜湖市,340200,2001,,,,5.8215775267156875,120.61546942585788,,,437.9919462169118,2077.187774446324,16.100138876164216,46.86973731268382,1384.7461137092523,201.11304490104166,1515.5283351354788,,1.703723234375,201.790778918995
安徽省,340000,宣城市,341800,2001,28.55028920379902,,,254.49150148621317,2087.434731083026,,,5012.472503092831,1393.993426015625,65.35983099197304,76.68332824522057,1284.3068794881126,87.63087202928922,1861.3441854249388,,,166.63596791844364
福建省,350000,福州市,350100,2001,17.7252261120098,2209.1680291929533,,,189.34341772922795,,0.225010765625,4305.816832008149,2821.603635418321,258.31627632248774,253.28344952175243,316.41856099926474,944.7832181824143,88.184321984375,,30.816701889276946,808.7064018449136
福建省,350000,龙岩市,350800,2001,20.0176354375,8889.570627733203,,,296.969966580821,,,7037.872200465247,2244.975886575306,78.60972970128678,2.938265921875,189.86097880857844,173.198430784375,99.747836625,,,1.13086921875
福建省,350000,南平市,350700,2001,389.06473291219373,7437.815720713417,,4.177972410845587,2303.2905551038593,,,14692.308559771767,840.7272615525122,237.3415881379289,19.666675864460785,139.03941878125,124.38979615625,63.803786578125,,,25.722844139338232
福建省,350000,宁德市,350900,2001,71.59691989509801,1412.331668326655,,0.22154828125,670.1619829262256,,,8549.144006848584,1654.3735459379284,105.512653421875,327.0241647372548,51.726562734375,113.881564078125,58.09344210459559,0.6673301288602941,9.65760359987745,501.7138057729771
福建省,350000,莆田市,350300,2001,,769.5364058780034,,,4.44131333805147,,,712.0262445485295,1145.481780318383,110.06772594901965,23.286780906801468,223.30909390625,600.6731596102329,223.27959114620097,,19.93043671501226,229.61636221770863
福建省,350000,泉州市,350500,2001,8.317864234375,1846.302228302022,,,61.79421536642158,0.45109290625,0.45235246875,2616.8557115368912,3697.061578740503,231.41318754019605,38.22861980759804,408.68605925643385,1541.3448622115193,627.0222460634191,0.1786828419117647,17.240421384375004,293.809886983946
