"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect02","Eect03","Eect04","Eect05","Eect06","Eect08","Eect09","Eect10","Eect11","Eect12","Eect13"
"1990","Honghe Hani & Yi Autonomous Prefecture","532500","City (Sub-provincial level)","530000","Yunnan (province)","364.0000","56.1000","12.2000","","","","","","","32.6533","66670.0000","2093.0000"
"1990","Wenshan Zhuang & Miao Autonomous Prefecture","532600","City (Sub-provincial level)","530000","Yunnan (province)","296.8000","17.9000","9.1000","","","","","","","10.8218","19379.0000","1814.0000"
"1990","Xishuangbanna Dai Autonomous Prefecture","532800","City (Sub-provincial level)","530000","Yunnan (province)","78.2000","12.5000","14.3000","","","","","","","12.2218","24182.0400","2040.0000"
"1990","Dali Bai Autonomous Prefecture","532900","City (Sub-provincial level)","530000","Yunnan (province)","303.0000","27.7000","12.0000","","","","","","","17.7802","32642.0000","2189.0000"
"1990","Dehong Dai-Jingpo Autonomous Prefecture","533100","City (Sub-provincial level)","530000","Yunnan (province)","90.6000","11.0000","15.6000","","","","","","","8.4757","16617.0000","2033.0000"
"1990","Nujiang Lisu Autonomous Prefecture","533300","City (Sub-provincial level)","530000","Yunnan (province)","43.5000","4.4000","11.6000","","","","","","","4.2852","9362.2800","11076.4800"
"1990","Diqing Tibetan Autonomous Prefecture","533400","City (Sub-provincial level)","530000","Yunnan (province)","31.5000","3.5000","16.0000","","","","","","","2.0861","5203.3500","2494.0000"
"1990","Turpan Prefecture","652100","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","47.4196","10.5154","14.1700","","","","","","","","",""
"1990","Kumul Prefecture","652200","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","41.0508","18.8984","11.9000","","","","","","","","",""
"1990","Changji Hui Autonomous Prefecture","652300","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","127.6889","41.0955","12.6400","","","","","","","","",""
"1990","Bortala Mongol Autonomous Prefecture","652700","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","32.3572","9.2772","15.8300","","","","","","","","",""
"1990","Bayinguoleng Inner Mongolia Autonomous Prefecture","652800","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","84.4832","33.4067","10.7000","","","","","","","","",""
"1990","Aksu Prefecture","652900","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","169.7499","41.7275","15.3700","","","","","","","","",""
"1990","Kizilsu Kirgiz Autonomous Prefecture","653000","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","37.6161","7.5708","22.3900","","","","","","","","",""
"1990","Kashi Prefecture ","653100","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","280.9423","56.1061","18.2000","","","","","","","","",""
"1990","Hotan Prefecture","653200","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","140.0550","18.0984","21.3400","","","","","","","","",""
"1990","Yili Kazakstan Autonomous Prefecture","654000","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","332.3634","104.6858","15.2000","","","","","","","","",""
"1990","Tacheng Prefecture","654200","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","78.5385","22.6521","13.7300","","","","","","","","",""
"1990","Altay Prefeture","654300","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","51.2807","19.1148","15.0600","","","","","","","","",""
"1990","Turpan(city)","652101","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","21.7202","5.7925","","","","","","","","","",""
"1990","Fu zhou(city)","361000","City (Sub-provincial level)","360000","Jiangxi (province)","331.1970","","20.2200","","","","","","","25.8703","39921.9000","1585.0000"
"1990","Jinzhong(city)","140700","City (Sub-provincial level)","140000","Shanxi (province)","","","","","","0.9139","","","","38.0931","73326.4000","1925.0000"
"1990","Lvliang(city)","141100","City (Sub-provincial level)","140000","Shanxi (province)","299.1400","36.7000","","","","0.8271","","","","20.5041","32518.6000","1586.0000"
"1990","Chizhou(city)","341700","City (Sub-provincial level)","340000","Anhui (province)","147.2113","14.3970","","","","","","","","9.7332","15186.5000","1618.0000"
"1990","Xuancheng(city)","341800","City (Sub-provincial level)","340000","Anhui (province)","264.3900","35.3592","","","","","","","","19.0701","30681.9000","1632.0000"
"1990","Ordos(city)","150600","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","120.4000","","","","","","","","","13.2500","",""
"1990","Hulunbeier(city)","150700","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","257.5400","","","","","","","","","46.3800","",""
"1990","Bayannao’er(city)","150800","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","153.8400","","","","","","","","","19.5200","",""
"1990","Wulanchabu(city)","150900","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","327.9900","","","","","","","","","25.6500","",""
"1990","Xinganmeng","152200","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","154.1400","","","","","","","","","17.9400","",""
"1990","Xilin Gol League","152500","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","88.9100","","","","","","","","","15.3500","",""
"1990","Alashan League","152900","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","16.0500","","","","","","","","","4.3000","",""
"1990","Yanbian Korean Autonomous Prefecture","222400","City (Sub-provincial level)","220000","Jilin (province)","206.9600","114.4400","9.9900","","","","","","","","",""
"1990","Daxinganling Region","232700","City (Sub-provincial level)","230000","Heilongjiang (province)","50.7000","43.2200","12.4700","","","","","","","23.1810","57540.0000","2570.0000"
"1990","Taizhou(city)","331000","City (Sub-provincial level)","330000","Zhejiang (province)","515.4900","47.0700","6.0200","","","","","","","","",""
"1990","Enshi Tujia and Miao Autonomous Prefecture","422800","City (Sub-provincial level)","420000","Hubei (province)","359.3800","29.0600","","","","","","","","18.8600","32766.0000","1782.0000"
"1990","Zhangjiajie(city)","430800","City (Sub-provincial level)","430000","Hunan (province)","147.8800","13.4900","","","","0.4934","","","","7.7100","13504.0000","1788.0000"
"1990","Xiangxi Tujia and Miao Autonomous Prefecture","433100","City (Sub-provincial level)","430000","Hunan (province)","230.6700","27.2200","","","","0.9500","","","","14.0900","26138.0000","1907.0000"
"1990","Guang'an(city) ","511600","City (Sub-provincial level)","510000","Sichuan (province)","1011.9000","83.2000","7.5000","","","","","","","","",""
"1990","Dazhou(city)","511700","City (Sub-provincial level)","510000","Sichuan (province)","989.3000","92.2000","9.1000","","","","","","","","",""
