"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd"
"1990","Jingmen(city)","420800","City (Sub-provincial level)","420000","Hubei (province)","22.8400","","","","2221.0000","","","",""
"1990","Huanggang(city)","421100","City (Sub-provincial level)","420000","Hubei (province)","59.4400","","","","","","","",""
"1990","Xiaogan(city)","420900","City (Sub-provincial level)","420000","Hubei (province)","62.1300","","","","1182.0000","","","",""
"1990","Xianning(city)","421200","City (Sub-provincial level)","420000","Hubei (province)","31.8300","","","","1011.0000","","","",""
"1990","Jingzhou(city)","421000","City (Sub-provincial level)","420000","Hubei (province)","137.8800","","","","1281.0000","","","",""
"1990","Chengdu(city)","510100","City (Prefectural level)","510000","Sichuan (province)","","23.2756","44.2270","32.4974","","","","",""
"1990","Zigong(city)","510300","City (Sub-provincial level)","510000","Sichuan (province)","","30.7669","48.5527","20.6804","","","","",""
"1990","Panzhihua(city)","510400","City (Sub-provincial level)","510000","Sichuan (province)","","10.9982","68.6229","20.3789","","","","",""
"1990","Luzhou(city)","510500","City (Sub-provincial level)","510000","Sichuan (province)","","44.3915","34.6887","20.9198","","","","",""
"1990","Deyang(city)","510600","City (Sub-provincial level)","510000","Sichuan (province)","","44.0303","38.1104","17.8792","","","","",""
"1990","Mianyang(city)","510700","City (Sub-provincial level)","510000","Sichuan (province)","","37.3001","40.8508","21.8492","","","","",""
"1990","Guangyuan(city)","510800","City (Sub-provincial level)","510000","Sichuan (province)","","51.5115","29.6738","18.8544","","","","",""
"1990","Suining(city)","510900","City (Sub-provincial level)","510000","Sichuan (province)","","55.1267","23.6095","21.3016","","","","",""
"1990","Neijiang(city)","511000","City (Sub-provincial level)","510000","Sichuan (province)","","54.3451","26.2880","19.3669","","","","",""
"1990","Leshan(city)","511100","City (Sub-provincial level)","510000","Sichuan (province)","","46.0669","33.5019","20.4312","","","","",""
"1990","Guiyang(city)","520100","City (Sub-provincial level)","520000","Guizhou (province)","44.5172","","","","2868.0000","","27334.0000","286309.0000","131530.0000"
"1990","Liupanshui(city)","520200","City (Sub-provincial level)","520000","Guizhou (province)","17.5991","","","","722.0000","","54839.0000","67359.0000","53793.0000"
"1990","Zunyi(city)","520300","City (Sub-provincial level)","520000","Guizhou (province)","55.3275","","","","903.0000","","250926.1700","197318.4700","105030.6100"
"1990","Buyi and Miao Autonomous Prefecture of Southwest Guizhou Province","522300","City (Sub-provincial level)","520000","Guizhou (province)","11.5079","","","","459.0000","","65598.0000","16400.0000","33081.0000"
"1990","Bijie(city)","520500","City (Sub-provincial level)","520000","Guizhou (province)","26.8464","","","","453.0000","","147727.0000","58019.0000","62718.0000"
"1990","Anshun(city)","520400","City (Sub-provincial level)","520000","Guizhou (province)","29.5603","","","","864.0000","","86801.0000","135164.0000","73638.0000"
"1990","Qiandongnan Miao & Dong Autonomous Prefecture","522600","City (Sub-provincial level)","520000","Guizhou (province)","22.3024","","","","610.0000","","130875.0000","42421.0000","49728.0000"
"1990","Qiannan Buyi & Miao Autonomous Prefecture","522700","City (Sub-provincial level)","520000","Guizhou (province)","26.2854","","","","808.0000","","132245.0000","79150.0000","51609.0000"
"1990","Tongren(city)","520600","City (Sub-provincial level)","520000","Guizhou (province)","15.8450","","","","488.0000","","102668.0000","24099.0000","31069.0000"
"1990","Shenyang(city)","210100","City (Prefectural level)","210000","Liaoning (province)","201.9600","","","","3559.0000","1.5000","174900.0000","1054100.0000","790600.0000"
"1990","Dalian(city)","210200","City (Prefectural level)","210000","Liaoning (province)","178.6300","","","","3422.0000","3.1000","235300.0000","987400.0000","563600.0000"
"1990","Anshan(city)","210300","City (Sub-provincial level)","210000","Liaoning (province)","101.1300","","","","3651.0000","-1.7000","92100.0000","744000.0000","175200.0000"
"1990","Fushun(city) ","210400","City (Sub-provincial level)","210000","Liaoning (province)","64.2400","","","","2912.0000","1.1000","63000.0000","452600.0000","126800.0000"
"1990","Benxi(city)","210500","City (Sub-provincial level)","210000","Liaoning (province)","38.5000","","","","2538.0000","-4.5000","40900.0000","281100.0000","63000.0000"
