,city_id,GE_1W_pred_GDP_pc,GINIW_pred_GDP_pc,lg_gdppc_predicted,lg_gdppc_predicted_2,lg_agri_predicted,lg_agri_predicted_2,lg_nonagri_predicted,lg_nonagri_predicted_2,urban_pop_percent,ln_pop,agri_gdp_percent,nonagri_gdp_percent,emp_nonagri,emp_agri,agri_inter,nonagri_inter,COORD_X,COORD_Y
50,220100,-0.001479999000000001,-0.009263684999999994,1.2531479999999995,26.46897100000001,0.8136089999999996,8.993869999999998,1.3873099999999994,21.83444,0.11741075000000001,0.06945604851173215,-0.04622080619875929,0.046220806198759345,1.3999999999999915,-1.3999999999999915,-95.85801868344898,1754.0722702828689,125.58388961066092,44.2831071834109
51,220200,-0.0025261960000000014,-0.009340340000000003,1.1435115000000007,23.398619999999994,0.8133309999999998,8.260565000000003,1.2932550000000003,18.015774,-0.11386334999999997,-0.01826871339910241,-0.055003755615326805,0.05500375561532678,1.75,-1.75,57.16561383227858,-643.6461994364141,126.8432842948073,43.57963214411891
52,220300,-0.0015830279000000002,-0.007185617999999998,1.273928999999999,24.872929999999997,0.8131054999999998,8.497594999999997,1.4188450000000001,16.941086999999996,0.05264790999999999,0.007008239290930973,-0.13161605312572355,0.13161605312572378,6.239999999999995,-6.239999999999995,-282.9198481078016,801.6575929436856,124.38409859324774,43.48353056110332
53,220400,-0.0004911329999999999,-0.0018316800000000022,1.2301830000000002,24.673730000000006,0.8122418000000002,5.856805999999999,1.3767446000000003,15.050183999999998,0.06961899999999999,-0.08410619694080346,-0.06603199603281935,0.06603199603281928,1.8299999999999983,-1.8299999999999983,-57.604879202636624,447.71104501745896,125.30548840679783,42.81082569771432
54,220500,0.008580452999999998,0.02500606999999999,1.146109000000001,22.970421,0.8164576999999995,6.696339999999999,1.2986275999999997,15.782865999999999,0.044713820000000015,0.008074985055772643,-0.05173714559615877,0.05173714559615872,2.299999999999997,-2.299999999999997,-79.41055400522329,714.8585424803133,125.94915636607392,41.95617890397332
55,220600,-0.0009138230000000011,-8.522000000001084e-05,1.1189240000000016,22.54593,0.8290406000000003,6.100595,1.2900086000000002,14.359010999999999,0.04457844,0.0033041865021505856,-0.05285361291445424,0.05285361291445434,5.680000000000007,-5.680000000000007,-20.872955458314205,265.62055318155666,127.2852823449216,42.06960476053749
56,220700,0.0041495920000000006,0.012797799999999998,1.2453054999999988,25.132854999999992,0.8250079000000001,8.337921999999999,1.3943436,17.474334999999996,0.10024506,0.038042476135665027,-0.10049425438306542,0.10049425438306536,9.870000000000005,-9.870000000000005,-1306.4002363385325,6003.629577169439,124.4768249709802,44.80129985319055
57,220800,0.0016266624000000002,0.009226419999999999,1.158589000000001,22.433840000000004,0.8466245000000003,7.312860999999998,1.3159624,14.508256,0.026118799999999998,0.002901389316951608,-0.08372458465378388,0.08372458465378396,12.689999999999998,-12.689999999999998,-674.6979381783008,2693.77724401949,123.01181246251384,45.34651395815161
58,222400,0.000589559999999989,0.00043817999999998247,1.1670289999999994,22.56896599999999,0.8225533999999994,7.773188999999999,1.3310709999999997,23.572240000000008,0.018210680000000035,0.0160728978563629,-0.008002378814484293,0.008002378814484179,2.469456733472583,-2.469456733472583,-51.24041214046486,4292.01860278779,129.12373345694954,43.14199811599879
59,230100,0.002478086000000001,0.003858269999999997,1.1500970000000006,23.62026999999999,0.8207803,9.870214,1.2941292999999998,20.338960000000007,0.10033125000000004,0.11890721616380873,-0.05591191319452907,0.05591191319452904,4.5,-4.5,-749.4184339754398,6241.078412777042,127.9576271510877,45.63733844342574
60,230200,0.011827980000000002,0.01634336,1.1293620000000004,21.417339999999996,0.8339816999999998,8.691446,1.2829432,16.170871999999996,0.07853853999999999,-0.012175236929026667,-0.0843896354432058,0.08438963544320588,8.580000000000013,-8.580000000000013,-1116.9313585599477,4330.230890783656,124.54560430427546,47.69965359069755
61,230300,-0.005140678999999999,-0.014478959999999999,1.101787999999999,21.544600000000003,0.8176284000000003,7.611519999999999,1.2539058,13.603370999999996,0.07699497999999999,-0.046727360675484775,-0.0941607808354647,0.09416078083546453,13.139999999999986,-13.139999999999986,-2651.902203829035,7144.496373851704,132.2858959417308,45.62897541305597
62,230400,-0.003586565,-0.011666449999999995,0.9945000000000004,19.50976,0.8071439000000002,6.433158000000001,1.1470760000000002,11.277681999999999,0.10323884000000005,-0.037401048521884306,-0.06887179317851921,0.06887179317851921,-1.9300000000000068,1.9300000000000068,6.821747983707226,66.33622566300286,130.80050715493306,47.63980443405863
63,230500,-0.0025670764000000007,-0.007476469999999999,1.00474,19.62299,0.8122183999999999,7.369941000000001,1.1628093000000002,12.026004999999998,0.07505008000000002,0.013739889801772875,-0.07924826362864829,0.07924826362864834,17.07,-17.07,-2780.160048766513,6217.304888345721,132.61116618306988,46.71508096241897
64,230600,0.0048078480000000035,0.011852790000000002,1.1256229999999992,25.12012400000002,0.8396912000000007,7.617117,1.2506390000000005,18.839080000000003,0.08388584999999998,0.08937989507575139,-0.018725980825451266,0.018725980825451405,1.9199999999999875,-1.9199999999999875,-210.73604915771585,5584.2005918176,124.69979095525696,46.34702258427126
65,230700,-0.0006509500000000008,-0.006963527999999997,0.9299689999999998,17.704790000000003,0.8083016000000005,6.45449,1.0755530000000002,10.216607,0.13451259999999998,-0.0802994025220638,-0.05803696510474787,0.05803696510474787,-1.4200000000000017,1.4200000000000017,-585.6064694646032,1414.50054360785,129.2123905028595,47.81302856371703
66,230800,0.005481372999999998,0.005458810000000008,1.162617000000001,22.700723999999994,0.8084728000000005,7.941044999999999,1.3079257000000002,14.842336,-0.004438849999999994,0.07666080886626148,-0.10798533977809138,0.10798533977809144,-8.320000000000007,8.320000000000004,-911.4577725951207,2590.3899537607253,132.1829008434308,47.23461387974957
67,230900,0.000661059999999998,-0.001754279999999997,1.0483089999999997,20.56044,0.8176129000000003,5.0380557,1.2044849000000006,12.023879999999998,0.08726939999999994,0.1083812848189929,-0.04353999365348654,0.043539993653486486,1.1199999999999903,-1.1199999999999903,-126.25678686535008,1058.911052803203,130.9359252688266,45.87901541308429
68,231000,0.020524893000000002,0.022137089999999998,1.108174,21.91613000000001,0.8199832999999996,7.5495529999999995,1.2687296000000003,15.491533,0.05830434000000001,0.040908459427319244,-0.06691690389713517,0.06691690389713512,5.6699999999999875,-5.6699999999999875,-482.7041666796634,2675.637598043885,129.88910105124137,44.59628653351433
