"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en.x","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd","Prvcnm_en.y","Pi0101","rel_cpi_2010","city_rgdp","city_rgdppc"
2000,"Nanchang(city)",360100,"City (Sub-provincial level)",360000,"Jiangxi (province)",435.1022,10.6,47.2,42.2,NA,9.2,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,529.524370609293,NA
2000,"Jingdezhen(city)",360200,"City (Sub-provincial level)",360000,"Jiangxi (province)",95.2653,11.1,50.9,38,NA,10.1,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,115.938963359426,NA
2000,"Pingxiang(city)",360300,"City (Sub-provincial level)",360000,"Jiangxi (province)",99.4865,14.5,54.3,31.3,NA,8.2,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,121.076212201688,NA
2000,"Jiujiang (city)",360400,"City (Sub-provincial level)",360000,"Jiangxi (province)",213.07,19,46,35,NA,16,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,259.308635179786,NA
2000,"Xinyu(city)",360500,"City (Sub-provincial level)",360000,"Jiangxi (province)",64.9408,20.5,43.7,35.7,NA,8.7,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,79.0336988571053,NA
2000,"Yingtan(city)",360600,"City (Sub-provincial level)",360000,"Jiangxi (province)",53.9487,20.1,41.1,38.8,NA,23.3,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,65.6561870123607,NA
2000,"Ganzhou(city)",360700,"City (Sub-provincial level)",360000,"Jiangxi (province)",266.1989,34.6,29.4,36,NA,7.6,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,323.967116184166,NA
2000,"Ji'an(city)",360800,"City (Sub-provincial level)",360000,"Jiangxi (province)",155.898,37.4,31.3,31.3,NA,NA,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,189.729655077009,NA
2000,"Yichun city",360900,"City (Sub-provincial level)",360000,"Jiangxi (province)",185.58,36.7,30.6,32.7,NA,NA,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,225.852989706034,NA
2000,"Fu zhou(city)",361000,"City (Sub-provincial level)",360000,"Jiangxi (province)",125.142,36.2,36.5,27.4,NA,NA,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,152.299250122818,NA
2000,"Shangrao(city)",361100,"City (Sub-provincial level)",360000,"Jiangxi (province)",173.431,32.7,29.2,38.1,NA,NA,NA,NA,NA,"Jiangxi",100.3,82.1684938691968,211.067517284767,NA
2000,"Jinan(city)",370100,"City (Prefectural level)",370000,"Shandong (province)",952.2,10,44,46.1,NA,14,NA,NA,NA,"Shandong",100.2,81.1989421642841,1172.67537558985,NA
2000,"Qingdao(city)",370200,"City (Prefectural level)",370000,"Shandong (province)",1150.0703,12.2,48.7,39.1,NA,15.1,NA,NA,NA,"Shandong",100.2,81.1989421642841,1416.36118568287,NA
2000,"Zibo(city)",370300,"City (Sub-provincial level)",370000,"Shandong (province)",642.2,7.4,58.8,33.9,NA,11.1,NA,NA,NA,"Shandong",100.2,81.1989421642841,790.897002944548,NA
2000,"Zaozhuang(city)",370400,"City (Sub-provincial level)",370000,"Shandong (province)",248.8058,16.8,49.5,33.8,NA,10.8,NA,NA,NA,"Shandong",100.2,81.1989421642841,306.415075576488,NA
2000,"Dongying(city)",370500,"City (Sub-provincial level)",370000,"Shandong (province)",465.11,6.5,81.6,11.9,NA,9.2,NA,NA,NA,"Shandong",100.2,81.1989421642841,572.803028713078,NA
2000,"Yantai(city)",370600,"City (Sub-provincial level)",370000,"Shandong (province)",879.59,14.3,51.8,33.8,NA,10.6,NA,NA,NA,"Shandong",100.2,81.1989421642841,1083.25302837122,NA
2000,"Weifang(city)",370700,"City (Sub-provincial level)",370000,"Shandong (province)",714.56,20.4,46.1,33.5,NA,10.3,NA,NA,NA,"Shandong",100.2,81.1989421642841,880.011464378786,NA
2000,"Ji’ning(city)",370800,"City (Sub-provincial level)",370000,"Shandong (province)",578.44,19.8,43,37.2,NA,11,NA,NA,NA,"Shandong",100.2,81.1989421642841,712.373812493374,NA
2000,"Tai’an(city)",370900,"City (Sub-provincial level)",370000,"Shandong (province)",396.4,17.7,44.9,37.4,NA,11.1,NA,NA,NA,"Shandong",100.2,81.1989421642841,488.183699730954,NA
2000,"Weihai(city)",371000,"City (Sub-provincial level)",370000,"Shandong (province)",560.8914,15.3,52.6,32.1,NA,12,NA,NA,NA,"Shandong",100.2,81.1989421642841,690.761954589492,NA
2000,"Rizhao(city)",371100,"City (Sub-provincial level)",370000,"Shandong (province)",209.5045,24.4,39.1,36.6,NA,12.8,NA,NA,NA,"Shandong",100.2,81.1989421642841,258.013829264086,NA
2000,"Laiwu(city)",371200,"City (Sub-provincial level)",370000,"Shandong (province)",110.4,11.8,50.2,38,NA,0,NA,NA,NA,"Shandong",100.2,81.1989421642841,135.962362387228,NA
2000,"Linyi(city)",371300,"City (Sub-provincial level)",370000,"Shandong (province)",554.6,20.5,46.7,32.8,NA,11.4,NA,NA,NA,"Shandong",100.2,81.1989421642841,683.013824093813,NA
2000,"Dezhou(city)",371400,"City (Sub-provincial level)",370000,"Shandong (province)",360,26.1,42.8,31.1,NA,13,NA,NA,NA,"Shandong",100.2,81.1989421642841,443.355529523571,NA
2000,"Liaocheng(city)",371500,"City (Sub-provincial level)",370000,"Shandong (province)",280.83,32.5,41.7,25.8,NA,12.1,NA,NA,NA,"Shandong",100.2,81.1989421642841,345.854259322512,NA
2000,"Binzhou(city)",371600,"City (Sub-provincial level)",370000,"Shandong (province)",270,22.7,48.3,28.9,NA,NA,NA,NA,NA,"Shandong",100.2,81.1989421642841,332.516647142678,NA
2000,"Heze(city)",371700,"City (Sub-provincial level)",370000,"Shandong (province)",208.5914,50.2,26.7,23.1,NA,NA,NA,NA,NA,"Shandong",100.2,81.1989421642841,256.889307225175,NA
2000,"Changsha(city)",430100,"City (Sub-provincial level)",430000,"Hunan (province)",656.4098,11.3,40.9,47.8,NA,9.5,NA,NA,NA,"Hunan",101.4,78.9250116335798,831.687935692011,NA
2000,"Zhuzhou(city)",430200,"City (Sub-provincial level)",430000,"Hunan (province)",291.4191,17.3,46.7,36,NA,8.2,NA,NA,NA,"Hunan",101.4,78.9250116335798,369.235422292939,NA
2000,"Xiangtan(city)",430300,"City (Sub-provincial level)",430000,"Hunan (province)",224.7749,14.4,43.3,42.3,NA,4.4,NA,NA,NA,"Hunan",101.4,78.9250116335798,284.795523431214,NA
2000,"Hengyang(city)",430400,"City (Sub-provincial level)",430000,"Hunan (province)",353.0805,29.5,34.9,35.6,NA,5.2,NA,NA,NA,"Hunan",101.4,78.9250116335798,447.36198664021,NA
2000,"Shaoyang(city)",430500,"City (Sub-provincial level)",430000,"Hunan (province)",251.5953,35.8,33.4,30.9,NA,7.1,NA,NA,NA,"Hunan",101.4,78.9250116335798,318.777653360465,NA
2000,"Yueyang(city)",430600,"City (Sub-provincial level)",430000,"Hunan (province)",364.04,24.8,40.4,34.8,NA,-0.5,NA,NA,NA,"Hunan",101.4,78.9250116335798,461.247952284259,NA
2000,"Changde(city)",430700,"City (Sub-provincial level)",430000,"Hunan (province)",349.7961,29.9,39.7,30.4,NA,9,NA,NA,NA,"Hunan",101.4,78.9250116335798,443.200568184869,NA
2000,"Zhangjiajie(city)",430800,"City (Sub-provincial level)",430000,"Hunan (province)",60.3722,24.8,22.8,52.4,NA,8.6,NA,NA,NA,"Hunan",101.4,78.9250116335798,76.4931151106904,NA
2000,"Yiyang(city)",430900,"City (Sub-provincial level)",430000,"Hunan (province)",193.6084,27.7,30.1,42.2,NA,-5.5,NA,NA,NA,"Hunan",101.4,78.9250116335798,245.306774104581,NA
2000,"Chenzhou(city)",431000,"City (Sub-provincial level)",430000,"Hunan (province)",250.2714,24.3,35.6,40.1,NA,6.2,NA,NA,NA,"Hunan",101.4,78.9250116335798,317.100238340058,NA
2000,"Yongzhou(city)",431100,"City (Sub-provincial level)",430000,"Hunan (province)",262.1423,31.3,35.6,33.1,NA,8.1,NA,NA,NA,"Hunan",101.4,78.9250116335798,332.140970997928,NA
2000,"Huaihua(city)",431200,"City (Sub-provincial level)",430000,"Hunan (province)",210.4552,26.9,31,42.1,NA,-0.6,NA,NA,NA,"Hunan",101.4,78.9250116335798,266.65209880116,NA
2000,"Loudi(city)",431300,"City (Sub-provincial level)",430000,"Hunan (province)",168.5355,23.9,39.6,36.6,NA,-11.2,NA,NA,NA,"Hunan",101.4,78.9250116335798,213.538771185045,NA
