province,province_id,city,city_id,year,urban_anpp,agriculture_anpp,overall_anpp
黑龙江省,230000,大兴安岭地区,232700,2001,196.73909211106215,350.79214325545274,445.5824767373587
台湾省,710000,台湾省,710000,2001,534.3363277039166,779.8743908134966,1157.0814357150443
安徽省,340000,安庆市,340800,2001,418.4422865833499,518.0115250315151,524.297811715958
安徽省,340000,蚌埠市,340300,2001,304.1829540132102,361.28317499980903,358.76410349717486
安徽省,340000,亳州市,341600,2001,267.4928571428572,338.9056888446952,338.4148742282045
安徽省,340000,池州市,341700,2001,362.6967032967032,546.1364148164463,588.0159094478294
安徽省,340000,滁州市,341100,2001,338.6497772144493,394.2698185857959,394.882448760859
安徽省,340000,阜阳市,341200,2001,302.6166084198075,354.5887440583442,353.20825548291083
安徽省,340000,合肥市,340100,2001,332.4210066366219,407.2253468435656,407.8627429974617
安徽省,340000,淮北市,340600,2001,261.7057729876651,362.3140479617101,357.3618544490898
安徽省,340000,淮南市,340400,2001,253.2560141682818,325.6187945741801,322.7807516395589
安徽省,340000,黄山市,341000,2001,476.091875,637.5630310295361,713.5674872003718
安徽省,340000,六安市,341500,2001,309.7308363625661,330.64955391347223,394.7733679772222
安徽省,340000,马鞍山市,340500,2001,311.161497624553,416.02046954206315,407.59957475582985
安徽省,340000,宿州市,341300,2001,310.7412480697612,374.47397203775546,373.50318325226976
安徽省,340000,铜陵市,340700,2001,319.0669434220663,486.67334397438907,482.6530840005788
安徽省,340000,芜湖市,340200,2001,335.7689079271295,452.23257465956516,450.8810259014099
安徽省,340000,宣城市,341800,2001,422.50874519384826,524.0056954833137,601.9637205600543
福建省,350000,福州市,350100,2001,539.0127612308562,655.3048625604631,917.0977133588134
福建省,350000,龙岩市,350800,2001,538.4707692307693,743.8057928341979,1044.1410807212108
福建省,350000,南平市,350700,2001,384.1483870967742,695.9922459706357,755.9364009172782
福建省,350000,宁德市,350900,2001,539.7380434782609,763.3940144723285,895.6612962945792
福建省,350000,莆田市,350300,2001,617.383318259849,759.8685840637679,1046.8129853315259
福建省,350000,泉州市,350500,2001,561.4389285832895,816.7830519717002,980.5705568984547
福建省,350000,三明市,350400,2001,441.0616666666667,699.8165410175955,794.8111964235761
福建省,350000,厦门市,350200,2001,581.1656719525105,843.4014130364003,1000.2355027591168
福建省,350000,漳州市,350600,2001,560.689653995864,880.3259428152837,1069.8059896009424
甘肃省,620000,白银市,620400,2001,98.1815789473684,127.09064088490479,124.28009625287456
甘肃省,620000,定西市,621100,2001,249.28000000000006,299.029544261328,301.04698534310535
甘肃省,620000,嘉峪关市,620200,2001,0,158.24776728988934,153.4366214845837
甘肃省,620000,金昌市,620300,2001,80.85813953488376,142.59367202731949,128.75394303186297
甘肃省,620000,酒泉市,620900,2001,0,107.72285458236821,100.58036314043053
甘肃省,620000,兰州市,620100,2001,187.7262950172669,166.7987922723793,170.5744085236547
甘肃省,620000,陇南市,621200,2001,319.43023255813955,470.1849532966399,537.9986478921771
甘肃省,620000,平凉市,620800,2001,220.25555555555556,320.8885255536092,324.39122029070944
甘肃省,620000,庆阳市,621000,2001,192.2774193548387,200.95028162757117,203.96833298096695
甘肃省,620000,天水市,620500,2001,316.45507246376815,363.1042028276591,403.858184291665
甘肃省,620000,武威市,620600,2001,172.55833333333334,214.84647323084022,210.97910101671732
甘肃省,620000,张掖市,620700,2001,0,163.82076650949585,151.76080901259405
广东省,440000,潮州市,445100,2001,597.1560746708454,790.0167332295151,1090.6863513083679
广东省,440000,东莞市,441900,2001,370.25309738332686,432.3228713637673,566.1299425049589
广东省,440000,佛山市,440600,2001,260.8205911040712,340.42784961138403,489.5131111811168
广东省,440000,广州市,440100,2001,366.3149537792279,513.9702799172925,814.1500772387111
广东省,440000,河源市,441600,2001,453.0247787610619,779.1840791024327,1169.2600274994425
广东省,440000,惠州市,441300,2001,445.3738867002566,635.8510555197433,1051.000546281648
广东省,440000,江门市,440700,2001,359.3812717029268,595.0077438160387,762.9699982974208
广东省,440000,揭阳市,445200,2001,591.4109800534594,749.8944735142808,984.7884130358206
广东省,440000,茂名市,440900,2001,462.984251968504,659.3569156027656,850.540962840701
广东省,440000,梅州市,441400,2001,493.6112994350283,735.9676453495614,1135.2555027943984
广东省,440000,清远市,441800,2001,390.33923076923077,630.8795888969655,926.878329553164
广东省,440000,汕头市,440500,2001,608.6891661153818,718.1847179289756,843.594920844241
广东省,440000,汕尾市,441500,2001,480.02388059701497,653.1299838492376,948.8571293506294
广东省,440000,韶关市,440200,2001,413.8933333333334,667.8398173812623,937.9075881688204
广东省,440000,深圳市,440300,2001,392.1161238914825,593.943162885831,802.0699637369238
广东省,440000,阳江市,441700,2001,456.7316666666668,647.0046004501855,919.4996449493541
广东省,440000,云浮市,445300,2001,397.67551020408166,675.9580856883452,1003.1352404861533
广东省,440000,湛江市,440800,2001,428.5026156244586,589.8519767592893,600.990727326067
广东省,440000,肇庆市,441200,2001,351.99587431238535,595.4563842018347,1068.5588939563881
广东省,440000,中山市,442000,2001,309.98055659166647,383.08745644599304,444.3727032086723
广东省,440000,珠海市,440400,2001,372.79413989725066,476.9834232504444,518.4681674978874
贵州省,520000,安顺市,520400,2001,439.5181818181818,701.7396211319497,775.3460233783967
贵州省,520000,毕节市,520500,2001,388.70000000000005,617.0143753575742,669.2570563619298
贵州省,520000,贵阳市,520100,2001,412.19519650655036,670.4529671244775,756.8550897511503
贵州省,520000,六盘水市,520200,2001,315.68148148148157,675.0450053518475,748.3100117387961
