city_id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_lg_gdppc_predicted,beta_lg_gdppc_predicted_2,beta_emp_nonagri,beta_nonagri_inter,beta_lg_pop,se_Intercept,se_lg_gdppc_predicted,se_lg_gdppc_predicted_2,se_emp_nonagri,se_nonagri_inter,se_lg_pop,t_Intercept,t_lg_gdppc_predicted,t_lg_gdppc_predicted_2,t_emp_nonagri,t_nonagri_inter,t_lg_pop,p_Intercept,p_lg_gdppc_predicted,p_lg_gdppc_predicted_2,p_emp_nonagri,p_nonagri_inter,p_lg_pop,sumW_Intercept,sumW_lg_gdppc_predicted,sumW_lg_gdppc_predicted_2,sumW_emp_nonagri,sumW_nonagri_inter,sumW_lg_pop
130800.0,117.54701999999999,41.347225,0.035484064651178315,0.030653861179928736,-0.0272938415713663,0.06277790622254462,0.26316191556265967,0.1424971600903111,-6.508563053528472,6.533256863594268,0.07997703199246188,-0.1449960457738376,-0.16380310257307398,0.12463066930288193,2.330421151502985,2.296611945275883,0.05822164277036203,0.07476908987477968,0.19424824478411482,1.143355490966749,-2.7928698850552527,2.844736951330911,1.3736649841349808,-1.9392511800888743,-0.8432668349468115,0.2537172735625415,0.005528142704721399,0.004721493022287875,0.17047531987671083,0.05332027568364405,0.3996881893085684,40.313927887698846,236.17433817292115,35.01425310566913,236.17433817292115,133.4587456451339,20.00912421491268
130900.0,116.76563999999999,38.268677000000004,0.5104783647230245,0.4673874080513194,-0.2822961541955347,0.7927745189185593,0.26346690744145984,0.09412162606185269,-6.5048967695054705,6.511060811964748,0.07897118715546565,-0.12495501936179892,-0.2038492341505205,0.12950197169566147,2.32997265505306,2.313550197919013,0.05835978074687632,0.0753363242326484,0.1847426154845188,0.7267968574489737,-2.791833953672446,2.814315772279894,1.3531782701170028,-1.6586290960509504,-1.1034229087635863,0.46786409017552144,0.005545455812900565,0.0051805593872457575,0.17692213229955114,0.0981378026023042,0.2706451078486199,45.630925429487135,251.5785670607968,39.93530187531992,251.5785670607968,139.3147745691874,24.688877657279697
131000.0,116.6282,39.259369,0.7133747589266347,0.7067730767106569,-0.06979370105339988,0.7831684599800346,0.2570833566004589,0.13946735958987655,-6.505887550901998,6.508066042774567,0.07903657250107324,-0.13267048168681497,-0.2000871669344789,0.12826124129333213,2.3301010046677746,2.3070435062459804,0.05832875375671206,0.0751926813263229,0.1918205975567857,1.0873694826554512,-2.792105379925196,2.8209550557477296,1.3550190499651857,-1.7644068458078868,-1.0430953165769696,0.27766471323446446,0.00554091482845705,0.005077046471935384,0.17633551402025127,0.0785857958517639,0.2976653743094783,43.978832770329156,246.87864328535608,38.68684974417031,246.87864328535608,136.65991334275446,22.589804375961084
131100.0,115.82287,37.762569,-1.16961979221608,-1.2130556018867176,-0.09887382840846137,-1.0707459638076187,0.2566711147072549,0.11863014496145366,-6.503867617028483,6.462540650566536,0.07812938821097168,-0.11816393653397003,-0.209551858848757,0.1308016618415173,2.3298590603484466,2.3173574818425755,0.05859610029124624,0.07510111651815517,0.18661380399410427,0.9069467718627996,-2.7915283493825522,2.78875430364246,1.3333547424254706,-1.5733978669332396,-1.1229172460113261,0.3650947167892814,0.005550572636131451,0.00559721542076462,0.18333230068431078,0.11658204437061699,0.26228646577733383,47.38806579548397,253.06754250218077,40.02650557868106,253.06754250218077,142.69507721983595,25.098961748372158
140100.0,112.31548000000001,37.959114,0.1355169268049696,0.11008187851862104,0.2500996987340052,-0.11458277192903563,0.20391321660824402,0.34777546790648417,-6.501812009049019,6.411446439201821,0.07426516248441115,-0.1161557035686071,0.01944453647012774,0.12860762138232787,2.3296791530508982,2.3058645930784096,0.06033428203443053,0.07563745450314077,0.19796679073458845,2.7041590861291867,-2.790861565866005,2.7804956364078244,1.2308949403264762,-1.5356902784689013,0.09822120365731837,0.007201642313529577,0.005561751649190002,0.0057381872405090914,0.21923608855242316,0.12556965657771985,0.9218160977816117,43.89222652489887,242.02823820477244,38.745000762168125,242.02823820477244,132.13041267242932,23.295696226002153
140200.0,113.71927,39.900436,1.2559416445372011,1.2485509529297234,0.175061621780839,1.0808800227563622,0.2164873287142438,0.28912688372663653,-6.505319111375193,6.395091389850876,0.07647232814664558,-0.13393212852742847,-0.16118268984010028,0.12795352345638134,2.330100350036367,2.294276052156132,0.059062730493942936,0.07534222001613723,0.20125125587952555,2.259624244151419,-2.7918622093995484,2.7874114729310144,1.294764524211898,-1.777650412992106,-0.8009027776531671,0.024494374487996354,0.0055449829349014795,0.005619921121237041,0.19630392001293923,0.07637936158710064,0.42376243656262647,42.17718172538482,236.84547197087818,35.10840413116763,236.84547197087818,129.608883723122,22.774263771318253
140300.0,113.49938,38.063171000000004,0.39698830681234903,0.4942176569000457,0.21078591099906846,0.18620239581328057,0.2229420061298839,0.2735603009706687,-6.502782289021281,6.406030851011556,0.07584422096437837,-0.11747777183674889,-0.1215489581774832,0.12924927336376235,2.3297723909474746,2.304608173172121,0.059473016769367365,0.07518867488243686,0.19501719649822075,2.1165326028623297,-2.791166344956437,2.779661603904725,1.2752711243570762,-1.5624397160933374,-0.6232730259692363,0.035045473718665905,0.0055566393208143225,0.0057526011454449785,0.2031076347061796,0.11913998338286076,0.5335343423071939,45.95666828056813,246.51533443801077,38.15718112546802,246.51533443801077,138.0720573153503,26.071344979629554
140400.0,112.9157,36.476032000000004,0.834792113526997,0.8462839294067461,0.10248532237567169,0.7323067911513254,0.22236242071102597,0.27474158846099184,-6.500435948356772,6.441462709279495,0.07473301217785651,-0.10078686346151668,-0.041254091738211485,0.13272922210035262,2.3294763806296834,2.320001279064046,0.060261832293843465,0.07433883472079864,0.19804540393001263,2.069940470631764,-2.79051378344503,2.7764910163662337,1.2401383982725573,-1.3557767463002532,-0.20830623139727236,0.03923322988852015,0.005567590518397884,0.005807695641995851,0.2158026076775216,0.17609447553827826,0.8351179841996903,43.60448887460026,251.61211121519452,38.19716990934036,251.61211121519452,141.60504977156592,24.325215923368596
140500.0,112.70674,35.610512,-0.6886806159314154,-0.6375532491777898,0.0992932682956944,-0.7879738842271098,0.22185405794188118,0.24428830890829295,-6.499343993347288,6.471277498904535,0.07419535269188018,-0.08999737159431342,-0.05675235121823337,0.13237332062555357,2.3293479156892096,2.3317144018469786,0.06067076040359854,0.07269051729597058,0.19602902827177143,1.8454497307604378,-2.790198900546918,2.775330243608977,1.2229177976064969,-1.2380895740207123,-0.28950993492429516,0.06586512754996336,0.005572881834324724,0.005827985302613473,0.22223072528339782,0.21656026726330665,0.7723724354757742,43.558845357407066,254.38574552169308,36.6372367003749,254.38574552169308,145.65486068776926,24.96368551300543
140600.0,112.64156000000001,39.616863,1.1345197224985233,1.2501918600097919,0.17488948109433355,0.9596302414041897,0.20026803552443662,0.33728330482008295,-6.504355639182512,6.376973101926687,0.0750815961785017,-0.13141988739320423,-0.04879533816148526,0.12614958342268795,2.330009183397827,2.2952749616829244,0.05969874987801977,0.07587622914735888,0.20179681538497826,2.6736775157627886,-2.7915579412855704,2.7783046512436185,1.257674512982485,-1.7320297657119237,-0.24180430235430556,0.007874502434047793,0.005550076983047297,0.00577612235539226,0.20939605995740554,0.08419986635972038,0.809081540967417,43.07266853074084,233.8473003727004,35.77715655604245,233.8473003727004,125.28739075531813,20.911655054493124
