province,province_id,city,city_id,year,agriculture_population,urban_population,total_population
湖南省,430000,怀化市,431200,2001,607852.274509804,485659.0705882353,5044393.266666668
湖南省,430000,娄底市,431300,2001,1887733.1294117647,421985.6352941176,4093955.0392156867
湖南省,430000,邵阳市,430500,2001,3404386.349019607,730382.7764705883,7520848.435294116
湖南省,430000,湘潭市,430300,2001,324956.37254901964,664592.874509804,2852599.4705882347
湖南省,430000,益阳市,430900,2001,1546389.7764705883,453972.5137254902,4814998.411764704
湖南省,430000,永州市,431100,2001,1097761.9725490196,334195.0588235294,5767705.062745098
湖南省,430000,岳阳市,430600,2001,1880095.1411764703,542719.7960784314,5389416.466666667
湖南省,430000,张家界市,430800,2001,109548.1725490196,39292.0,1639125.5372549016
湖南省,430000,长沙市,430100,2001,567232.6470588236,1923585.0,6381708.933333334
湖南省,430000,株洲市,430200,2001,285296.1333333333,527389.0,3837078.133333334
吉林省,220000,白城市,220800,2001,1606315.5882352944,525543.5294117647,2132956.7215686277
吉林省,220000,白山市,220600,2001,258148.72549019606,554199.3450980393,1392281.137254902
吉林省,220000,吉林市,220200,2001,2596703.5843137256,1932434.4823529413,4710064.607843136
吉林省,220000,辽源市,220400,2001,887843.0901960784,465897.4862745098,1361298.9137254898
吉林省,220000,四平市,220300,2001,1712432.5098039212,595251.7294117648,2308926.22745098
吉林省,220000,松原市,220700,2001,2338808.6392156864,363280.8823529412,2707483.266666667
吉林省,220000,通化市,220500,2001,1456858.0509803921,701388.968627451,2445574.0470588235
吉林省,220000,长春市,220100,2001,5398054.364705882,2911737.231372549,8313800.709803921
江苏省,320000,常州市,320400,2001,843303.6392156864,1841391.0823529416,3708088.0666666655
江苏省,320000,淮安市,320800,2001,3628042.0039215684,1200906.4549019607,5362228.333333333
江苏省,320000,连云港市,320700,2001,3524023.2784313723,878729.1882352942,4619188.74117647
江苏省,320000,南京市,320100,2001,1538712.580392157,3390419.368627451,5804345.133333333
江苏省,320000,南通市,320600,2001,6789860.7764705885,1348507.325490196,8640239.301960785
江苏省,320000,苏州市,320500,2001,941983.5137254903,3614183.8,6394236.823529411
江苏省,320000,宿迁市,321300,2001,3940117.14509804,705643.2196078432,5151248.6196078425
江苏省,320000,泰州市,321200,2001,3559305.6549019613,1338449.0901960782,5839481.65882353
江苏省,320000,无锡市,320200,2001,669329.2117647061,2939651.254901961,4884449.635294119
江苏省,320000,徐州市,320300,2001,6296476.678431372,2446356.537254902,9191501.321568629
江苏省,320000,盐城市,320900,2001,6957936.411764706,1157179.4666666668,8815987.670588234
江苏省,320000,扬州市,321000,2001,2410716.811764706,1410678.3058823529,4537036.388235294
江苏省,320000,镇江市,321100,2001,1287931.705882353,683343.1176470589,2435195.596078432
江西省,360000,抚州市,361000,2001,923969.8509803922,325668.0,3739983.6901960783
江西省,360000,赣州市,360700,2001,924525.3882352941,561890.0,7967564.556862744
江西省,360000,吉安市,360800,2001,1243540.4,360913.82352941175,4698206.705882353
江西省,360000,景德镇市,360200,2001,330845.16470588243,377100.0,1569380.239215686
江西省,360000,九江市,360400,2001,1476666.1333333333,300954.2980392157,4584823.090196079
江西省,360000,南昌市,360100,2001,1808594.6078431376,1628542.5529411766,4258167.364705884
江西省,360000,萍乡市,360300,2001,119323.07450980392,350111.0,1776634.0784313716
江西省,360000,上饶市,361100,2001,1506949.7294117645,496939.0,6495020.145098038
江西省,360000,新余市,360500,2001,396893.831372549,183134.0,1063299.686274509
江西省,360000,宜春市,360900,2001,1898014.5764705883,468852.17254901957,5241622.929411765
江西省,360000,鹰潭市,360600,2001,235472.3568627451,151900.0,1071623.3411764703
辽宁省,210000,鞍山市,210300,2001,1586218.5921568626,2079248.3921568627,3726628.1882352927
辽宁省,210000,本溪市,210500,2001,494743.52156862745,977962.0549019608,1740606.6470588238
辽宁省,210000,朝阳市,211300,2001,2925391.321568627,612490.5490196078,3544296.035294118
辽宁省,210000,大连市,210200,2001,2787780.2196078426,2791417.788235294,5901940.360784314
辽宁省,210000,丹东市,210600,2001,1429622.807843137,757514.4352941177,2543686.25882353
辽宁省,210000,抚顺市,210400,2001,689689.4470588234,1529933.6274509805,2536710.188235294
辽宁省,210000,阜新市,210900,2001,1293728.1215686272,779425.0196078432,2073574.141176471
辽宁省,210000,葫芦岛市,211400,2001,2035715.1529411762,736618.1647058823,2807957.7137254905
辽宁省,210000,锦州市,210700,2001,2225687.4823529413,1059534.3450980394,3295619.31372549
辽宁省,210000,辽阳市,211000,2001,869683.9647058824,1058595.1058823527,1979251.8784313733
辽宁省,210000,盘锦市,211100,2001,522327.831372549,659169.6313725491,1194446.1294117651
辽宁省,210000,沈阳市,210100,2001,2637234.525490196,4766937.847058824,7413270.047058828
辽宁省,210000,铁岭市,211200,2001,2428154.9529411765,693772.4980392157,3191741.7176470584
辽宁省,210000,营口市,210800,2001,1162207.5137254903,1167486.6627450981,2380819.7725490197
青海省,630000,海东市,630200,2001,1255417.5254901962,260156.0235294118,1523785.2784313725
青海省,630000,西宁市,630100,2001,857211.5686274505,988635.2666666666,1846150.4745098045
山东省,370000,滨州市,371600,2001,3428505.521568628,479832.8588235294,3931780.592156863
山东省,370000,德州市,371400,2001,4881400.274509803,839489.1960784313,5723162.823529411
山东省,370000,东营市,370500,2001,1121415.294117647,669257.4784313726,1817690.5647058822
山东省,370000,菏泽市,371700,2001,7767781.8,1111872.9411764706,8889753.329411764
山东省,370000,济南市,370100,2001,4576236.8705882365,2677153.2,7271347.188235294
山东省,370000,济宁市,370800,2001,6413728.309803922,1616988.0745098041,8127611.776470589
山东省,370000,聊城市,371500,2001,4846829.623529411,1024714.3176470587,5884647.360784314
山东省,370000,临沂市,371300,2001,8363010.329411766,2037960.9764705882,1.0469544705882352E7
山东省,370000,青岛市,370200,2001,4293977.345098039,3115918.9490196076,7497790.674509806
山东省,370000,日照市,371100,2001,2424468.0627450985,454479.54117647064,2893634.63137255
山东省,370000,泰安市,370900,2001,4351403.215686275,1443502.4784313724,5846518.372549019
山东省,370000,威海市,371000,2001,2099558.8313725493,458898.662745098,2652183.6588235297
山东省,370000,潍坊市,370700,2001,6906261.635294118,2045527.1215686277,9097141.376470588
山东省,370000,烟台市,370600,2001,5053129.074509805,1903937.3411764705,7056678.909803922
山东省,370000,枣庄市,370400,2001,2194630.6823529415,1337278.4862745097,3615834.7333333334
山东省,370000,淄博市,370300,2001,2421153.7098039207,1783348.2627450982,4229538.0470588235
山西省,140000,大同市,140200,2001,1677933.4000000001,1293139.062745098,2971729.16862745
山西省,140000,晋城市,140500,2001,1319587.643137255,421929.0,2174270.8196078427
山西省,140000,晋中市,140700,2001,2101212.239215686,960637.7490196078,3245799.9019607836
山西省,140000,临汾市,141000,2001,1889535.137254902,1246649.9058823527,3895101.560784314
山西省,140000,吕梁市,141100,2001,2593565.6470588236,647240.094117647,3314989.4588235295
山西省,140000,朔州市,140600,2001,1207733.7215686273,191653.0,1399419.721568627
山西省,140000,太原市,140100,2001,797423.094117647,2222691.6274509802,3048338.4941176474
山西省,140000,忻州市,140900,2001,2681505.6745098038,328650.5843137255,3025052.458823529
山西省,140000,阳泉市,140300,2001,659643.8941176472,625588.8666666667,1312874.7529411768
山西省,140000,运城市,140800,2001,3219832.7490196084,1195649.9843137255,4776672.505882354
山西省,140000,长治市,140400,2001,2452137.992156863,716590.0,3270960.1254901965
陕西省,610000,安康市,610900,2001,546406.0156862745,256270.0,3152763.42745098
陕西省,610000,宝鸡市,610300,2001,2378526.7882352937,744722.0,3663522.1764705875
陕西省,610000,汉中市,610700,2001,1605306.3019607845,321222.0,4004966.898039216
陕西省,610000,商洛市,611000,2001,699437.3098039215,87932.0,2567724.905882354
陕西省,610000,铜川市,610200,2001,479362.6352941176,284199.6470588235,872778.0627450981
陕西省,610000,渭南市,610500,2001,4433443.97254902,688637.6274509804,5309390.266666668
陕西省,610000,西安市,610100,2001,3063459.705882353,3927838.949019608,7231913.474509804
陕西省,610000,咸阳市,610400,2001,3725503.678431373,928992.2392156863,4918476.17254902
陕西省,610000,延安市,610600,2001,1844541.156862745,50222.0,2029746.0274509804
陕西省,610000,榆林市,610800,2001,3013634.4509803914,190299.38039215686,3208147.7764705876
四川省,510000,巴中市,511900,2001,44463.43529411765,69054.0,3495961.243137256
四川省,510000,成都市,510100,2001,5152180.878431372,4173225.176470588,1.1951603937254902E7
四川省,510000,达州市,511700,2001,3783925.02745098,328120.0,6658579.831372547
四川省,510000,德阳市,510600,2001,2536359.6117647053,701054.9529411765,3960816.8313725484
四川省,510000,广安市,511600,2001,3689360.5764705883,121328.0,4403056.09019608
四川省,510000,广元市,510800,2001,73400.1294117647,255164.4117647059,3235139.9411764704
四川省,510000,乐山市,511100,2001,672766.3372549019,428869.0,3693642.5490196077
四川省,510000,泸州市,510500,2001,1651784.5333333332,369021.8470588235,4684619.007843138
四川省,510000,眉山市,511400,2001,2541983.874509804,120708.20392156862,3585626.654901961
四川省,510000,绵阳市,510700,2001,2029910.5568627457,692822.0,5568052.294117646
四川省,510000,南充市,511300,2001,3992738.1215686267,554149.5882352941,7553349.792156862
四川省,510000,内江市,511000,2001,1884524.7882352946,418676.9843137255,4480840.062745098
四川省,510000,攀枝花市,510400,2001,146451.22745098037,388147.09803921566,1067393.3843137254
四川省,510000,遂宁市,510900,2001,2118027.8745098044,318848.0,3843770.4980392153
四川省,510000,雅安市,511800,2001,292483.9098039216,228776.0,1607604.6
四川省,510000,宜宾市,511500,2001,963906.9882352941,280169.1294117647,5413139.549019608
四川省,510000,资阳市,512000,2001,2019555.654901961,102685.32156862745,3772617.0431372537
四川省,510000,自贡市,510300,2001,1478856.015686274,615592.3764705881,3326218.57254902
云南省,530000,保山市,530500,2001,1051854.1019607843,337976.91764705884,2360875.937254902
云南省,530000,昆明市,530100,2001,1442164.6392156864,2027055.705882353,4912831.3803921575
云南省,530000,丽江市,530700,2001,621226.3098039214,110364.68235294118,1160754.1843137257
云南省,530000,临沧市,530900,2001,777175.219607843,267503.08235294116,2253246.3098039217
云南省,530000,普洱市,530800,2001,515276.5921568628,270162.22352941177,2489017.439215686
云南省,530000,曲靖市,530300,2001,2151367.741176471,550372.0,5423508.05490196
云南省,530000,玉溪市,530400,2001,653615.4352941177,599320.1019607843,2035376.7215686273
云南省,530000,昭通市,530600,2001,1402025.254901961,157677.88235294117,4736733.2
浙江省,330000,杭州市,330100,2001,469596.4431372549,3190058.596078431,6524258.262745098
浙江省,330000,湖州市,330500,2001,795550.6549019607,557244.274509804,2758814.729411765
浙江省,330000,嘉兴市,330400,2001,2281122.6039215685,926364.4235294118,3515770.6431372548
浙江省,330000,金华市,330700,2001,678949.1098039215,1384639.8313725493,4572243.874509804
浙江省,330000,丽水市,331100,2001,232123.40392156862,376819.09803921566,2642973.9607843133
浙江省,330000,宁波市,330200,2001,1002981.8627450981,3137847.635294118,5721084.980392157
浙江省,330000,衢州市,330800,2001,458825.6352941176,366196.0,2611568.9137254898
浙江省,330000,绍兴市,330600,2001,833850.9647058824,1756342.8666666667,4540563.77254902
浙江省,330000,台州市,331000,2001,1456458.6274509802,1419794.0,5476103.411764706
浙江省,330000,温州市,330300,2001,836902.2784313726,2924936.0,7106770.733333332
浙江省,330000,舟山市,330900,2001,71084.62745098039,219854.12156862745,1020009.1372549024
甘肃省,620000,甘南藏族自治州,623000,2001,487351.81176470587,66472.23529411765,669533.7764705879
甘肃省,620000,临夏回族自治州,622900,2001,1589087.835294117,225616.25098039216,1832211.772549019
贵州省,520000,黔东南苗族侗族自治州,522600,2001,236281.44705882354,211173.32941176472,4153325.6588235293
贵州省,520000,黔南布依族苗族自治州,522700,2001,407456.93725490203,186203.0,3681652.5803921577
贵州省,520000,黔西南布依族苗族自治州,522300,2001,842051.674509804,119608.0,2852272.003921568
湖北省,420000,恩施土家族苗族自治州,422800,2001,411677.6941176471,170738.5725490196,3966158.333333334
湖南省,430000,湘西土家族苗族自治州,433100,2001,246045.84705882357,87129.14117647058,2597497.3176470585
吉林省,220000,延边朝鲜族自治州,222400,2001,1079331.8,1007271.7372549019,2366143.305882352
青海省,630000,果洛藏族自治州,632600,2001,130843.96862745099,2380.0,133714.48235294118
青海省,630000,海北藏族自治州,632200,2001,270270.26666666655,24482.0,298333.3529411763
青海省,630000,海南藏族自治州,632500,2001,351872.87843137246,35094.0,405757.92156862735
青海省,630000,海西蒙古族藏族自治州,632800,2001,134487.86274509804,63677.0,333835.16862745106
青海省,630000,黄南藏族自治州,632300,2001,201327.78823529408,5204.823529411765,207622.67843137254
青海省,630000,玉树藏族自治州,632700,2001,253631.6588235294,987.0,261599.16862745097
四川省,510000,阿坝藏族羌族自治州,513200,2001,449038.2352941177,412.0,871841.6196078431
四川省,510000,甘孜藏族自治州,513300,2001,743329.262745098,13408.0,942600.0117647059
四川省,510000,凉山彝族自治州,513400,2001,1898014.6274509802,328038.3529411765,4084333.2117647063
云南省,530000,楚雄彝族自治州,532300,2001,705652.1686274509,289878.2980392157,2625095.1176470593
云南省,530000,大理白族自治州,532900,2001,1584257.411764706,522727.0,3377572.8431372545
云南省,530000,德宏傣族景颇族自治州,533100,2001,719510.8274509804,164996.72549019608,1040910.2431372548
云南省,530000,迪庆藏族自治州,533400,2001,141743.97647058827,11391.725490196079,341877.4352941176
云南省,530000,红河哈尼族彝族自治州,532500,2001,1491245.6235294114,610708.7647058824,4112196.850980392
云南省,530000,怒江傈僳族自治州,533300,2001,110543.59607843136,1932.0,492254.2745098038
云南省,530000,文山壮族苗族自治州,532600,2001,1166620.3411764705,132444.0,3348012.294117648
云南省,530000,西双版纳傣族自治州,532800,2001,370965.45490196074,55909.0,895873.4588235294
海南省,460000,白沙黎族自治县,469025,2001,23727.22352941177,140.8235294117647,208682.10196078435
海南省,460000,保亭黎族苗族自治县,469029,2001,109898.0156862745,813.0,195208.51372549025
海南省,460000,昌江黎族自治县,469026,2001,111734.34509803922,23391.37254901961,213019.22352941174
海南省,460000,澄迈县,469023,2001,42561.37254901961,39072.0,488027.3647058822
海南省,460000,定安县,469021,2001,43126.419607843134,21809.07843137255,293003.68627450976
海南省,460000,东方市,469007,2001,166876.89803921568,52301.62745098039,355044.894117647
海南省,460000,乐东黎族自治县,469027,2001,345802.14117647056,6981.0,477509.96078431373
海南省,460000,临高县,469024,2001,11655.921568627451,33776.0,392923.55294117646
海南省,460000,陵水黎族自治县,469028,2001,238740.07843137256,24017.0,321209.25098039216
海南省,460000,琼海市,469002,2001,219310.41568627453,39420.0,479278.5960784314
海南省,460000,琼中黎族苗族自治县,469030,2001,4353.603921568627,347.0,208225.5803921569
海南省,460000,屯昌县,469022,2001,114565.48627450979,19240.0,269871.2392156863
海南省,460000,万宁市,469006,2001,155928.32156862746,26134.0,531914.3686274509
海南省,460000,文昌市,469005,2001,24993.529411764706,10594.0,557152.968627451
海南省,460000,五指山市,469001,2001,26800.078431372553,0.0,91607.30588235294
河南省,410000,济源市,419001,2001,338907.41568627453,172997.50980392157,632806.0705882353
湖北省,420000,潜江市,429005,2001,798588.1960784312,124173.28235294118,981482.1098039214
湖北省,420000,神农架林区,429021,2001,2127.0,0.0,86966.92941176466
湖北省,420000,天门市,429006,2001,1531406.6941176467,130970.1882352941,1721443.1686274502
湖北省,420000,仙桃市,429004,2001,1035809.3921568627,152186.84313725488,1531124.2274509806
北京市,110000,北京市,110000,2001,2467873.639215686,9585237.952941177,1.2167678321568632E7
上海市,310000,上海市,310000,2001,2003526.5843137254,1.2209912074509803E7,1.5028551341176469E7
天津市,120000,天津市,120000,2001,2827373.3450980396,6838725.88627451,9817051.019607844
重庆市,500000,重庆市,500000,2001,1.4916046654901959E7,4480336.094117647,3.2528138996078424E7
内蒙古自治区,150000,阿拉善盟,152900,2001,29432.768627450976,17449.16470588235,191538.54117647058
内蒙古自治区,150000,锡林郭勒盟,152500,2001,909419.8705882353,80322.0,1011760.5647058823
内蒙古自治区,150000,兴安盟,152200,2001,1389870.28627451,299601.5764705882,1706561.580392157
西藏自治区,540000,阿里地区,542500,2001,32332.600000000013,2.0,114804.8392156863
新疆维吾尔自治区,650000,阿克苏地区,652900,2001,1285796.619607843,260945.0,1810608.2784313723
新疆维吾尔自治区,650000,阿勒泰地区,654300,2001,453619.00392156857,34480.30980392157,571292.8156862744
新疆维吾尔自治区,650000,和田地区,653200,2001,838114.8823529412,85278.0,1701240.074509804
新疆维吾尔自治区,650000,喀什地区,653100,2001,2471507.223529412,392479.0,3169718.203921568
新疆维吾尔自治区,650000,塔城地区,654200,2001,689145.6549019609,153141.0431372549,874163.4156862745
广西壮族自治区,450000,百色市,451000,2001,596020.2392156862,259005.0,3883576.039215687
广西壮族自治区,450000,北海市,450500,2001,820798.6156862745,288734.26274509804,1413470.9764705882
广西壮族自治区,450000,崇左市,451400,2001,977534.5411764706,91613.0,2415734.968627451
广西壮族自治区,450000,防城港市,450600,2001,146767.42352941175,66299.90588235293,761687.6784313726
