province,province_id,city,city_id,year,urban_midlight,agriculture_midlight,total_midlight
河南省,410000,驻马店市,411700,2001,0.0,0.0,0.0
黑龙江省,230000,大庆市,230600,2001,4.4678544776527325,0.0,0.0
黑龙江省,230000,哈尔滨市,230100,2001,1.4686786606123572,0.0,0.0
黑龙江省,230000,鹤岗市,230400,2001,1.7422659861414056,0.0,0.0
黑龙江省,230000,黑河市,231100,2001,0.0,0.0,0.0
黑龙江省,230000,鸡西市,230300,2001,1.1153851220482274,0.0,0.0
黑龙江省,230000,佳木斯市,230800,2001,0.0,0.0,0.0
黑龙江省,230000,牡丹江市,231000,2001,0.0,0.0,0.0
黑龙江省,230000,七台河市,230900,2001,0.0,0.0,0.0
黑龙江省,230000,齐齐哈尔市,230200,2001,1.739080049467425,0.0,0.0
黑龙江省,230000,双鸭山市,230500,2001,0.0,0.0,0.0
黑龙江省,230000,绥化市,231200,2001,0.0,0.0,0.0
黑龙江省,230000,伊春市,230700,2001,1.368255892465281,0.0,0.0
湖北省,420000,鄂州市,420700,2001,0.0,0.0,0.0
湖北省,420000,黄冈市,421100,2001,0.0,0.0,0.0
湖北省,420000,黄石市,420200,2001,0.0,0.0,0.0
湖北省,420000,荆门市,420800,2001,0.0,0.0,0.0
湖北省,420000,荆州市,421000,2001,0.0,0.0,0.0
湖北省,420000,十堰市,420300,2001,0.0,0.0,0.0
湖北省,420000,随州市,421300,2001,0.0,0.0,0.0
湖北省,420000,武汉市,420100,2001,1.7137301759559567,0.0,0.0
湖北省,420000,咸宁市,421200,2001,0.0,0.0,0.0
湖北省,420000,襄阳市,420600,2001,0.0,0.0,0.0
湖北省,420000,孝感市,420900,2001,0.0,0.0,0.0
湖北省,420000,宜昌市,420500,2001,0.0,0.0,0.0
湖南省,430000,常德市,430700,2001,0.0,0.0,0.0
湖南省,430000,郴州市,431000,2001,0.0,0.0,0.0
湖南省,430000,衡阳市,430400,2001,0.0,0.0,0.0
湖南省,430000,怀化市,431200,2001,0.0,0.0,0.0
湖南省,430000,娄底市,431300,2001,0.0,0.0,0.0
湖南省,430000,邵阳市,430500,2001,0.0,0.0,0.0
湖南省,430000,湘潭市,430300,2001,0.0,0.0,0.0
湖南省,430000,益阳市,430900,2001,0.0,0.0,0.0
湖南省,430000,永州市,431100,2001,0.0,0.0,0.0
湖南省,430000,岳阳市,430600,2001,0.0,0.0,0.0
湖南省,430000,张家界市,430800,2001,0.0,0.0,0.0
湖南省,430000,长沙市,430100,2001,1.3741686713379042,0.0,0.0
湖南省,430000,株洲市,430200,2001,1.2191073497136433,0.0,0.0
吉林省,220000,白城市,220800,2001,0.0,0.0,0.0
吉林省,220000,白山市,220600,2001,1.2380580503750582,0.0,0.0
吉林省,220000,吉林市,220200,2001,0.0,0.0,0.0
吉林省,220000,辽源市,220400,2001,1.2443351049786233,0.0,0.0
吉林省,220000,四平市,220300,2001,1.370614968240261,0.0,0.0
吉林省,220000,松原市,220700,2001,0.0,0.0,0.0
吉林省,220000,通化市,220500,2001,1.3774683869561772,0.0,0.0
吉林省,220000,长春市,220100,2001,1.4430522142692093,0.0,0.0
江苏省,320000,常州市,320400,2001,0.0,0.0,0.0
江苏省,320000,淮安市,320800,2001,0.0,0.0,0.0
江苏省,320000,连云港市,320700,2001,0.0,0.0,0.0
江苏省,320000,南京市,320100,2001,2.1182326272130014,0.0,0.0
江苏省,320000,南通市,320600,2001,1.1125055709517147,0.0,0.0
江苏省,320000,苏州市,320500,2001,1.3779180390764036,0.0,0.0
江苏省,320000,宿迁市,321300,2001,0.0,0.0,0.0
江苏省,320000,泰州市,321200,2001,1.614141336745686,0.0,0.0
江苏省,320000,无锡市,320200,2001,1.1227904052027424,0.0,0.0
江苏省,320000,徐州市,320300,2001,0.0,0.0,0.0
江苏省,320000,盐城市,320900,2001,0.0,0.0,0.0
江苏省,320000,扬州市,321000,2001,1.0636502152583638,0.0,0.0
江苏省,320000,镇江市,321100,2001,1.1179634345902336,0.0,0.0
江西省,360000,抚州市,361000,2001,0.0,0.0,0.0
江西省,360000,赣州市,360700,2001,0.0,0.0,0.0
江西省,360000,吉安市,360800,2001,0.0,0.0,0.0
江西省,360000,景德镇市,360200,2001,0.0,0.0,0.0
江西省,360000,九江市,360400,2001,0.0,0.0,0.0
江西省,360000,南昌市,360100,2001,0.0,0.0,0.0
江西省,360000,萍乡市,360300,2001,0.0,0.0,0.0
江西省,360000,上饶市,361100,2001,0.0,0.0,0.0
江西省,360000,新余市,360500,2001,0.0,0.0,0.0
