province,province_id,city,city_id,year,urban_meanlight,agriculture_meanlight,total_meanlight
黑龙江省,230000,大兴安岭地区,232700,2001,1.2152502928751152,0.03438093266658889,0.005949711983309972
台湾省,710000,台湾省,710000,2001,17.199464064273837,2.4895357269494447,2.141880863184874
安徽省,340000,安庆市,340800,2001,1.4287740895431353,7.470451128226956E-4,0.025539750718741504
安徽省,340000,蚌埠市,340300,2001,0.5875463579903675,0.0019502139229097477,0.035869351475206084
安徽省,340000,亳州市,341600,2001,1.0241959080603453,6.011796289859323E-4,0.031094151002026983
安徽省,340000,池州市,341700,2001,1.3872814630017687,4.914999234291974E-4,0.009928128790403489
安徽省,340000,滁州市,341100,2001,0.636306877542992,8.92158704481722E-4,0.01522363869558974
安徽省,340000,阜阳市,341200,2001,1.187656515926347,0.0011848411421042841,0.034436987838822715
安徽省,340000,合肥市,340100,2001,2.5875449115311526,0.0019872504989478664,0.15184784167658388
安徽省,340000,淮北市,340600,2001,1.2858449209643872,0.009398996323541745,0.1301624539866763
安徽省,340000,淮南市,340400,2001,0.6326486850993862,0.0013283074434091836,0.0492876608925385
安徽省,340000,黄山市,341000,2001,2.030250323254888,0.00821514105296965,0.016664319736213358
安徽省,340000,六安市,341500,2001,0.7108393443861172,4.524818466198914E-4,0.008731418249074007
安徽省,340000,马鞍山市,340500,2001,2.5442950320472115,0.0010234323461448685,0.15947510502674
安徽省,340000,宿州市,341300,2001,0.5996989946072191,3.988871930872954E-4,0.022701800252689114
安徽省,340000,铜陵市,340700,2001,1.6068186788016405,0.0035191969304860554,0.05983171412081937
安徽省,340000,芜湖市,340200,2001,3.1373891119819066,0.0041807094078192344,0.12704140656249008
安徽省,340000,宣城市,341800,2001,0.9201088927841605,0.0026737708828519302,0.00857510202541788
福建省,350000,福州市,350100,2001,2.246596641612961,0.024501686019552986,0.2189081711477301
福建省,350000,龙岩市,350800,2001,3.509204683419886,0.024144979740319327,0.04352355713915855
福建省,350000,南平市,350700,2001,2.147981413570391,0.0012346897292984183,0.015223971722863258
福建省,350000,宁德市,350900,2001,2.255928602666486,0.016258114318410264,0.02814145449297116
福建省,350000,莆田市,350300,2001,1.003081912291727,0.03812840629936404,0.19734906013316514
福建省,350000,泉州市,350500,2001,3.0932340863816083,0.11534774276869789,0.5224453541249433
福建省,350000,三明市,350400,2001,3.3305620875851862,0.0049658955598351345,0.02665851610812114
福建省,350000,厦门市,350200,2001,7.420036538562819,0.14262481948463948,2.6313808275090174
福建省,350000,漳州市,350600,2001,1.5154422121869007,0.013656657757670783,0.10367248591375386
甘肃省,620000,白银市,620400,2001,2.2511897217622336,0.005630769109003025,0.029200070404952837
甘肃省,620000,定西市,621100,2001,0.98030148483722,0.0021296034455984434,0.007218511169639797
甘肃省,620000,嘉峪关市,620200,2001,31.109026276975648,0.14449927555440786,0.9373539962967625
甘肃省,620000,金昌市,620300,2001,3.286725987199802,0.0036470791947410754,0.04546010177312643
甘肃省,620000,酒泉市,620900,2001,1.6984918643013114,0.00805091259583743,0.00579183520931359
甘肃省,620000,兰州市,620100,2001,7.506885699166924,0.03345097541358927,0.30140946090381276
甘肃省,620000,陇南市,621200,2001,0.6176065828489221,0.0016924501045793628,0.002489699886512813
甘肃省,620000,平凉市,620800,2001,2.1549311873138417,0.008276462855534194,0.017288219145043884
甘肃省,620000,庆阳市,621000,2001,2.4200774722814256,0.010940787443857725,0.013505740233829906
甘肃省,620000,天水市,620500,2001,2.4016339071272035,0.004030312254760176,0.023840388512835056
甘肃省,620000,武威市,620600,2001,0.850586578416033,0.0040548805567533095,0.006623306947465806
甘肃省,620000,张掖市,620700,2001,0.5520701576672288,0.002697415994530519,0.0043154150895786956
广东省,440000,潮州市,445100,2001,3.8860141825729784,0.024630692865226823,0.5202266498063478
广东省,440000,东莞市,441900,2001,16.956104472342748,4.849075323276863,10.960485830260524
广东省,440000,佛山市,440600,2001,12.975418683853349,2.2177694842673823,5.413173068118792
广东省,440000,广州市,440100,2001,14.262908532749266,0.5033776021498902,3.1422037867656494
广东省,440000,河源市,441600,2001,2.2550084789180955,0.013988706664928274,0.020687273756185415
广东省,440000,惠州市,441300,2001,4.019077934405587,0.1094362756652163,0.25221341993606045
广东省,440000,江门市,440700,2001,6.939001716410765,0.052412133971681846,0.4140269081143467
广东省,440000,揭阳市,445200,2001,1.6724431989131017,0.0044278061306671015,0.30981033348204
广东省,440000,茂名市,440900,2001,4.1944051433266525,0.014917010506242239,0.11971415315699702
广东省,440000,梅州市,441400,2001,3.698789323011476,0.022357790648548623,0.057577885611512745
广东省,440000,清远市,441800,2001,2.7058632958651474,0.070107444199153,0.04621115723344231
广东省,440000,汕头市,440500,2001,4.741527606780811,0.0746656337571141,1.9521425663790797
广东省,440000,汕尾市,441500,2001,2.0542023932524307,0.031359528392289435,0.11033752732594872
广东省,440000,韶关市,440200,2001,2.4370049209155744,0.026088939340554406,0.04519136049455946
广东省,440000,深圳市,440300,2001,23.66850168061937,5.412620256252726,12.470362454564304
广东省,440000,阳江市,441700,2001,5.350710664809411,0.011662608701971883,0.10198836952411496
广东省,440000,云浮市,445300,2001,2.876956343427899,0.01930954550661608,0.05525911586265091
广东省,440000,湛江市,440800,2001,2.695593772299517,0.007366239127299573,0.08424650819117922
广东省,440000,肇庆市,441200,2001,2.3491971706988886,0.03222148751431272,0.05750406719095939
广东省,440000,中山市,442000,2001,10.429118277391932,4.011865879446102,3.937264630758032
广东省,440000,珠海市,440400,2001,10.045192065442963,0.371929027296215,1.2567534678620629
