province,province_id,city,city_id,year,urban_sol,agriculture_sol,total_sol
黑龙江省,230000,大兴安岭地区,232700,2001,1722.572016119957,410.51089775562286,2568.673074364662
台湾省,710000,台湾省,710000,2001,244729.35305082798,73468.68883800507,360433.6873693466
安徽省,340000,安庆市,340800,2001,1531.83632720218,17.466398119926453,1605.739313580008
安徽省,340000,蚌埠市,340300,2001,971.2602118253708,45.43999969959259,1025.0596973896027
安徽省,340000,亳州市,341600,2001,1245.4021419286728,23.540433168411255,1274.1351486444473
安徽省,340000,池州市,341700,2001,357.22225656322405,3.576926350593567,387.4295746424619
安徽省,340000,滁州市,341100,2001,923.7803435325623,49.59002232551575,979.1387699842453
安徽省,340000,阜阳市,341200,2001,1592.5868406623017,53.18351364135742,1665.0391657679688
安徽省,340000,合肥市,340100,2001,8089.741000350784,81.40278363227844,8221.416706379721
安徽省,340000,淮北市,340600,2001,1591.008697148398,109.30885289042604,1724.1553457933314
安徽省,340000,淮南市,340400,2001,1260.9482206106186,27.831713318824768,1296.2057564258575
安徽省,340000,黄山市,341000,2001,665.9221060276031,31.9869886636734,746.3404442071915
安徽省,340000,六安市,341500,2001,580.4574705993427,16.24539363384247,635.243514600922
安徽省,340000,马鞍山市,340500,2001,3005.28138134386,12.197535603186664,3041.7280904690424
安徽省,340000,宿州市,341300,2001,1067.60531604664,17.822927392230316,1088.1849773790323
安徽省,340000,铜陵市,340700,2001,786.2888439094319,19.41117262840271,834.1620265638127
安徽省,340000,芜湖市,340200,2001,3379.0665014982224,69.68063786731047,3579.964561731675
安徽省,340000,宣城市,341800,2001,427.3274359703064,48.986900806427,492.936444401741
福建省,350000,福州市,350100,2001,10804.491152137402,112.59572052955627,11983.322590798023
福建省,350000,龙岩市,350800,2001,2951.0071917772293,69.29230440691406,3680.9896544694902
福建省,350000,南平市,350700,2001,1263.01307117939,3.115664482116699,1808.4689741733027
福建省,350000,宁德市,350900,2001,1224.969231247902,34.258588433265686,1715.1855640696544
福建省,350000,莆田市,350300,2001,3258.3090088699378,117.07828056812286,3565.739192626523
福建省,350000,泉州市,350500,2001,23486.368422727028,1201.8212498856526,26416.2036576991
福建省,350000,三明市,350400,2001,1931.726010799408,10.730404496192932,2743.2352195683648
福建省,350000,厦门市,350200,2001,18225.559316938066,185.82224177192242,20543.654481685397
福建省,350000,漳州市,350600,2001,5579.555136829731,225.0593634035073,6210.865764996117
甘肃省,620000,白银市,620400,2001,2297.3435251558526,484.49032002056344,2930.3652788036006
甘肃省,620000,定西市,621100,2001,492.0421476364136,202.1993247270584,694.241472363472
甘肃省,620000,嘉峪关市,620200,2001,4137.500494837761,92.04150521755219,5986.137442946434
甘肃省,620000,金昌市,620300,2001,1587.2179802656174,77.91496992111206,1772.6945625543594
甘肃省,620000,酒泉市,620900,2001,1925.230537056923,360.36326789855957,5097.269836321064
甘肃省,620000,兰州市,620100,2001,17755.079984297474,2006.661310879857,19799.312081264048
甘肃省,620000,陇南市,621200,2001,184.6643682718277,105.70213720798492,334.2578509377498
甘肃省,620000,平凉市,620800,2001,500.7384022474289,401.4040019231684,944.5685649829752
甘肃省,620000,庆阳市,621000,2001,448.14140486717224,1368.0631779708112,1817.53668680565
甘肃省,620000,天水市,620500,2001,1410.9928840398788,198.70232834301743,1658.8931397344552
甘肃省,620000,武威市,620600,2001,759.1802097558975,308.1832618713379,1093.7896883487701
甘肃省,620000,张掖市,620700,2001,377.49907886981964,319.22822403907776,855.0926630286609
广东省,440000,潮州市,445100,2001,7148.391665563862,50.23763048648834,7442.480778191135
广东省,440000,东莞市,441900,2001,100688.80607219304,3566.827679949181,117661.67503379419
广东省,440000,佛山市,440600,2001,76174.00176537786,1256.4055499460183,89758.85826502176
广东省,440000,广州市,440100,2001,89639.63941257187,1772.216848516464,101742.87045108431
广东省,440000,河源市,441600,2001,1084.6590783596039,55.87275958061218,1424.7246743118062
广东省,440000,惠州市,441300,2001,9195.918252448942,930.7696868742214,12662.369802528738
广东省,440000,江门市,440700,2001,13319.86278887917,417.9142135877235,17435.648905290338
广东省,440000,揭阳市,445200,2001,6999.15511164899,21.768049955368042,7184.252570239236
广东省,440000,茂名市,440900,2001,5426.0798771788095,221.3018650971207,5940.02473700514
广东省,440000,梅州市,441400,2001,3636.707682609558,92.72477202836205,4022.82574540774
广东省,440000,清远市,441800,2001,2676.724862098694,370.9283148050308,3877.0405230522156
广东省,440000,汕头市,440500,2001,18768.862878681164,88.04454410076141,20052.002702410547
广东省,440000,汕尾市,441500,2001,2010.6855252981186,164.36635637283325,2569.332642197609
广东省,440000,韶关市,440200,2001,2670.3935372829437,114.27937602996826,3682.062504529953
广东省,440000,深圳市,440300,2001,102891.71050598855,2840.5431104814306,115985.22737829079
广东省,440000,阳江市,441700,2001,3089.668203293576,89.32401151984345,3569.961291337481
广东省,440000,云浮市,445300,2001,1538.4947128295898,46.78256106376648,1876.0012593274023
广东省,440000,湛江市,440800,2001,4398.923620581627,208.31178283691406,4900.759792327881
广东省,440000,肇庆市,441200,2001,2550.362148814108,108.59690070152283,3754.426565516696
广东省,440000,中山市,442000,2001,21045.347206231192,1224.3742679848392,31112.079829208524
广东省,440000,珠海市,440400,2001,7959.731406836883,156.38229979861015,10658.57544538788
贵州省,520000,安顺市,520400,2001,354.578976392746,118.51459765434265,602.5061365356632
贵州省,520000,毕节市,520500,2001,114.75654292106628,320.88259291648865,714.2539053594365
贵州省,520000,贵阳市,520100,2001,2297.035085916519,77.3194500207901,3108.5146341230356
