city,year,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,10+12+14
Nanping,2001,13011,405.1114797,7367.262349,,5.667014939,2361.879265,,,14416.88314,839.8854376,239.3217056,18.60496807,138.8577789,124.4633141,63.80378658,,,26.98424713,441.9832711
Longyan,2001,13012,20.17571142,9151.786634,,,374.422066,,,7076.945248,2243.396224,82.62170842,2.938265922,195.4371319,173.4149601,99.97175769,,,1.130869219,378.030598
Ningde,2001,13013,54.95320537,1364.564353,,0.374242657,664.9821479,,,8283.348772,1640.205681,101.1278972,217.4403153,50.07610325,114.2374004,65.81199123,0.62208262,3.317304267,164.9233672,217.0159917
Lanzhou,2001,13014,5.560033928,,,9.708586094,14.16936946,,18.60095505,0.199774016,0.606915594,12602.63355,8.213220254,303.8669438,465.3323469,,,28.59752877,,12906.5005
Jiayuguan,2001,13015,,,,,,,,,,125.0644432,,17.03152738,25.12740733,,,1522.07555,,142.0959706
Jinchang,2001,13016,,,,,,,,,,3718.281965,0.19641725,712.8478009,72.15060622,,,2962.12951,,4431.129766
Baiyin,2001,13017,,,,,,,245.6917861,,,18031.68531,1.193671938,294.9692247,194.2612898,0.404510969,,1022.171361,,18327.05905
Tianshui,2001,13018,,,,2480.079216,225.1057058,,,243.6292602,84.34838766,2093.910126,,8694.374988,89.90686881,12.32664644,,,,10800.61176
Jiuquan,2001,13019,,,,,,,,,,8576.218223,,1553.523899,214.127169,,50.89536129,135578.7086,9.114100594,10129.74212
Zhangye,2001,13020,19.93263109,,,,,,,0.197280672,52.47453899,22856.21597,119.4944189,2973.173472,134.3270263,,11.85481298,13454.19373,0.590034063,25829.38944
Wuwei,2001,13021,21.07282625,,,,32.87987649,,0.396889922,69.15863006,22.56625132,13591.44543,55.03380381,3088.676869,174.252956,,,15929.04473,1.565036047,16680.1223
Dingxi,2001,13022,,,,77.03690757,26.06244028,,,19.17379426,1.149896278,14283.97492,,5266.70023,84.96585005,,,,,19550.67515
Longnan,2001,13023,0.209661813,,,5555.282454,2758.300952,,,3310.729362,1998.358734,3786.772619,,8242.497724,47.90039855,2395.188216,,,,14424.45856
Pingliang,2001,13024,,,,329.635057,14.66682925,0.204435625,,2.851768109,142.9486617,1975.703173,,8167.252094,36.04927416,117.1679577,,,,10260.12323
Qingyang,2001,13025,,,,1373.6648,53.6374708,11.28733623,,108.3201105,34.07314859,18877.05674,,6175.654414,24.4378605,0.545789746,,,,25053.25695
Linxia Hui,2001,13026,,,,22.22981462,24.35155254,,,3.464034516,,4835.357387,1.212350188,2898.82877,109.1240357,,,31.54545627,77.0699195,7734.186157
Gannan Tibetan,2001,13027,8.312952587,,,440.6912886,1272.443601,,,3366.626175,402.4860016,30910.63706,0.412347797,748.7166821,40.68310217,1.24633375,,31.5763278,0.2061685,31660.60007
Guangzhou,2001,13028,0.228250125,758.1460059,,0.228462313,2.511619875,,,547.7074237,3893.531938,171.3342654,154.0796408,28.86242928,1410.660984,116.7393877,,32.10084027,65.43208775,316.9360824
Shaoguan,2001,13029,76.66029963,7012.854052,,0.67672875,583.3641275,,,5211.806598,4670.372706,204.9499005,26.10293456,551.0776779,238.517244,54.4501687,,0.225956641,14.23978188,810.4777471
Shenzhen,2001,13030,2.022409545,217.6927947,,,1.396609842,,,68.92255252,586.9426121,42.80701453,21.46581479,0.458858859,956.4465246,0.229558375,,5.523121938,53.63382998,43.49543176
Zhuhai,2001,13031,3.307315628,45.85442651,,,0.230816766,,,14.86925202,651.623538,89.12714645,288.1210011,35.32294755,158.532442,0.065091172,,27.92487588,56.23788339,124.5151852
Shantou,2001,13032,0.510284601,32.58020728,,,0.213957018,,,2.083445934,681.4959952,98.55767979,98.85184463,102.2965418,843.6625246,10.52775357,,4.586157543,85.95326365,211.3819752
Foshan,2001,13033,1.603458781,107.0637543,,,,,1.145267781,23.73558974,1671.719362,116.2196464,254.0526894,17.75534044,1301.264864,8.480510141,,217.2541516,132.1120736,142.455497
Jiangmen,2001,13034,8.510273084,1034.664343,,0.485241924,11.08745142,,0.230301188,316.8391422,5371.343011,168.7915589,308.5903414,654.5057716,410.8541983,520.1858411,,34.21176342,194.0336203,1343.483172
Maoming,2001,13036,0.230759844,631.5000871,,,3.220755672,,,1513.114661,7352.446516,236.1057755,16.73809491,344.7589038,256.074808,982.4328578,,1.383949105,56.977454,1563.297537
Zhaoqing,2001,13037,1.999461991,3612.295573,,,33.97662024,,,6019.048547,4131.307402,215.1405214,136.9061323,388.2831811,217.3432742,23.22852272,,2.974353625,97.92435821,626.6522253
Huizhou,2001,13038,1.168064039,2193.549542,,0.685651109,4.937015936,0.229270516,,1850.549424,5841.133889,232.7979712,56.01976117,505.5522652,490.3667814,104.8462537,,3.915183415,187.2576743,843.1964901
Meizhou,2001,13039,0.679864469,2511.256912,,,6.339429944,,,3477.862594,8952.276275,35.92193099,1.134973953,251.1707387,209.8401081,115.7741665,,,22.10141899,402.8668363
Shanwei,2001,13040,0.158338583,461.9901597,,,0.686385422,,0.4588585,709.5103281,2446.063888,578.6392842,74.9693363,323.5182341,195.8031956,17.52031232,,3.2680012,149.6445093,919.6778305
Heyuan,2001,13041,5.692817875,3987.091036,,0.226434406,25.79846856,,,2788.897921,7901.873944,65.71155335,168.1439692,172.4329859,104.9453806,184.6970846,,7.741880891,171.0734543,422.8416238
Yangjiang,2001,13042,0.460544656,1163.662246,,0.231304047,1.845772453,,,1098.014999,4511.629654,244.9022425,72.4538825,447.2142345,110.75986,319.7998682,,4.357227837,104.6549354,1011.916345
Qingyuan,2001,13043,53.79756493,3456.774753,,5.480779391,754.8431138,,,6905.605994,6674.844817,132.1186414,26.4816806,348.5925875,214.6633703,280.8351608,,0.455575703,91.64086142,761.5463897
Dongguan,2001,13044,0.916859656,94.38371384,,,0.897362838,,0.229025281,4.093469302,696.8727436,100.392376,79.99439068,0.886995984,1322.795445,,,24.32358896,54.94969008,101.279372
Zhongshan,2001,13045,8.739455344,28.29576942,,,,0.229639172,4.362306344,1.839480063,684.4673706,53.42612877,280.6581346,7.811748672,498.2345095,1.608400766,,62.73284345,36.75997828,62.84627821
Chaozhou,2001,13046,,233.9610113,,,,,,736.421627,1334.467885,44.74983311,18.69832649,70.21860791,362.8879897,84.00643519,,1.633637785,39.48100797,198.9748762
Jieyang,2001,13047,,325.6143207,,,,,,595.8012207,2846.151095,341.2845514,9.856951859,250.7638852,797.1341761,137.4096287,,0.916510114,21.88822448,729.4580653
Yunfu,2001,13048,0.229800281,1068.386682,,,2.139149003,,,2392.518474,3675.020561,35.02734747,19.21646789,284.1277787,127.8678048,124.6589315,,1.372783422,54.62204269,443.8140577
Nanning,2001,13049,,628.7303779,,,16.9382794,,,381.4675573,3820.817729,171.2015667,30.34515229,2859.027734,302.3521164,1835.347227,,,23.16336346,4865.576527
Liuzhou,2001,13050,,40.59457162,,,8.207038975,,,110.555212,3074.073424,14.35800478,,667.1017991,215.0123744,1166.123192,,,12.81727538,1847.582996
Guilin,2001,13051,277.0105053,4110.927235,,326.5604263,3546.709359,,,9363.125238,8668.576293,269.2415603,6.763718656,650.1259312,236.6744491,107.5441618,,,3.145628625,1026.911653
Wuzhou,2001,13052,,2697.567337,,,2.850365825,,,6640.86932,2930.40812,112.3252689,34.6287535,204.8638179,101.4437438,5.634661263,,1.826691344,84.88602862,322.823748
Qinzhou,2001,13055,0.230774078,291.6282277,,,3.226919203,,,148.3083085,7748.674816,9.441310899,65.47710838,426.3762225,123.7923339,1835.448149,,7.545657378,56.68507052,2271.265683
Guigang,2001,13056,,1196.797717,,0.228741016,6.693531937,,,1025.111753,3942.645666,110.751487,21.76648465,2738.972162,238.4184987,1482.042798,,0.684681578,83.60717865,4331.766446
Yulin,2001,13057,,898.0370829,,,1.609388188,,,1672.871287,6785.087195,13.0465368,9.01580048,647.1944691,731.9504539,2039.052457,,,28.68390374,2699.293463
